Date,ticker,Beta,Return,SPX,SPTR,VIX,d,mktrf,smb,hml,rf,umd
2001-01-02,ADX       ,0.73364892674836069,-3.0213876756010564E-2,-2.8432329999999999E-2,-2.8432389999999998E-2,0.11059817,2001-01-02,-3.4499999135732651E-2,-3.8999998942017555E-3,2.0899999886751175E-2,2.6000000070780516E-4,-1.2299999594688416E-2
2001-01-03,ADX       ,0.79210786780066733,5.3744537634563473E-2,4.8884039999999997E-2,4.9009320000000002E-2,-0.11995277999999999,2001-01-03,5.2700001746416092E-2,9.7000002861022949E-3,-4.9100000411272049E-2,2.6000000070780516E-4,-7.2700001299381256E-2
2001-01-04,ADX       ,0.79322836964303978,-5.8309670944200103E-3,-0.01060848,-1.0583850000000001E-2,0.01381392,2001-01-04,-1.2099999934434891E-2,8.2000000402331352E-3,-0.00139999995008111,2.6000000070780516E-4,-4.1499998420476913E-2
2001-01-05,ADX       ,0.82005348974826986,-4.1797470141934322E-2,-2.6592850000000001E-2,-2.6586720000000001E-2,6.1126140000000002E-2,2001-01-05,-2.9100000858306885E-2,2.7000000700354576E-3,2.4199999868869781E-2,2.6000000070780516E-4,6.5999999642372131E-3
2001-01-08,ADX       ,0.82090263593359991,-3.0536576704007874E-3,-1.9196599999999999E-3,-1.7113600000000001E-3,3.9998499999999999E-2,2001-01-08,-3.7000000011175871E-3,-5.4000001400709152E-3,1.2799999676644802E-2,2.6000000070780516E-4,1.7000000225380063E-3
2001-01-09,ADX       ,0.82297694366845586,9.1321744723156829E-3,0.00380489,3.8411999999999999E-3,-6.4002470000000006E-2,2001-01-09,4.6000001020729542E-3,4.3000001460313797E-3,-2.6000000070780516E-3,2.6000000070780516E-4,-1.5599999576807022E-2
2001-01-10,ADX       ,0.82977739896882896,9.0499256100039002E-3,9.5407500000000006E-3,9.6250799999999994E-3,-4.3445419999999998E-2,2001-01-10,0.01360000018030405,8.2000000402331352E-3,-1.4299999922513962E-2,2.6000000070780516E-4,-1.1599999852478504E-2
2001-01-11,ADX       ,0.81292213046850703,1.4903390709675437E-2,0.01026489,0.01026761,-3.8415070000000003E-2,2001-01-11,1.4700000174343586E-2,1.6000000759959221E-2,-3.0899999663233757E-2,2.6000000070780516E-4,-2.8899999335408211E-2
2001-01-12,ADX       ,0.8023474704640573,5.8995633036462184E-3,-6.4269000000000001E-3,-6.4253899999999996E-3,-4.8867720000000003E-2,2001-01-12,-3.8000000640749931E-3,9.9999997764825821E-3,-2.4000001139938831E-3,2.6000000070780516E-4,-1.0999999940395355E-2
2001-01-16,ADX       ,0.79458489456904813,-5.8993670976655709E-3,6.2987700000000004E-3,6.2987199999999998E-3,2.8894469999999998E-2,2001-01-16,6.0000000521540642E-3,1.1699999682605267E-2,-4.1000000201165676E-3,2.6000000070780516E-4,5.0000002374872565E-4
2001-01-17,ADX       ,0.79303421418453657,-2.9633864957310397E-3,2.1234000000000001E-3,0.00217884,-0.01394167,2001-01-17,4.3000001460313797E-3,5.0000002374872565E-4,-7.1000000461935997E-3,2.6000000070780516E-4,-1.8500000238418579E-2
2001-01-18,ADX       ,0.81983444826679797,4.0703267472478009E-2,1.3819390000000001E-2,0.01382977,-6.4618750000000003E-2,2001-01-18,1.2099999934434891E-2,-1.7999999690800905E-3,-1.0400000028312206E-2,2.6000000070780516E-4,-1.9899999722838402E-2
2001-01-19,ADX       ,0.81783808590962337,-5.7142955327796185E-3,-4.0289699999999998E-3,-4.0343599999999999E-3,-5.5782200000000001E-3,2001-01-19,-4.3999999761581421E-3,-2.4999999441206455E-3,-9.9999997473787516E-5,2.6000000070780516E-4,-1.1599999852478504E-2
2001-01-22,ADX       ,0.82293678068150311,-2.869111968237319E-3,2.6066000000000001E-4,2.6850000000000002E-4,4.3019999999999999E-4,2001-01-22,0,-3.0000000260770321E-3,8.0000003799796104E-3,2.6000000070780516E-4,0.01119999960064888
2001-01-23,ADX       ,0.80964343813423945,2.8698779579439857E-3,0.01294732,0.0129471,-7.5001670000000006E-2,2001-01-23,1.5599999576807022E-2,4.4999998062849045E-3,-5.2000000141561031E-3,2.6000000070780516E-4,-3.2999999821186066E-3
2001-01-24,ADX       ,0.8100326815127773,0,2.8627000000000001E-3,2.8766799999999999E-3,2.1101700000000001E-2,2001-01-24,3.0000000260770321E-3,-4.3000001460313797E-3,-3.0000000260770321E-3,2.6000000070780516E-4,-1.0900000110268593E-2
2001-01-25,ADX       ,0.80985385982863789,-5.7474851951080843E-3,-4.9893400000000001E-3,-4.9805099999999996E-3,2.7313090000000002E-2,2001-01-25,-7.799999788403511E-3,-6.5000001341104507E-3,1.5900000929832458E-2,2.6000000070780516E-4,2.4100000038743019E-2
2001-01-26,ADX       ,0.82456651101185496,-2.8861609585113281E-3,-0.00188759,-0.00184005,-3.0966600000000002E-3,2001-01-26,-1.0000000474974513E-3,3.8000000640749931E-3,-2.7000000700354576E-3,2.6000000070780516E-4,1.2000000569969416E-3
2001-01-29,ADX       ,0.82476330617759053,5.763359889104318E-3,6.7816300000000003E-3,0.00684214,1.7707000000000001E-3,2001-01-29,8.7000001221895218E-3,6.2000001780688763E-3,-3.8999998942017555E-3,2.6000000070780516E-4,-1.5599999576807022E-2
2001-01-30,ADX       ,0.83346291957017538,5.5018370990848687E-3,6.9834800000000002E-3,7.0157300000000004E-3,-1.7707000000000001E-3,2001-01-30,6.3000000081956387E-3,-5.0000002374872565E-4,-2.6000000070780516E-3,2.6000000070780516E-4,-1.0599999688565731E-2
2001-01-31,ADX       ,0.83469886336225463,0,-5.6355900000000002E-3,-5.5418899999999998E-3,-2.4670460000000002E-2,2001-01-31,-6.8999999202787876E-3,3.2999999821186066E-3,3.7000000011175871E-3,2.6000000070780516E-4,5.7000000961124897E-3
2001-02-01,ADX       ,0.85817800725392912,-8.2640534184623155E-3,5.4463000000000003E-3,5.5350900000000003E-3,-1.6483890000000001E-2,2001-02-01,3.599999938160181E-3,-2.099999925121665E-3,5.7000000961124897E-3,1.9999999494757503E-4,2.7000000700354576E-3
2001-02-02,ADX       ,0.84474192919121061,-6.9400263696631241E-3,-1.7628459999999999E-2,-1.7625419999999999E-2,0.0132999,2001-02-02,-1.8799999728798866E-2,-1.7000000225380063E-3,2.0500000566244125E-2,1.9999999494757503E-4,2.8999999165534973E-2
2001-02-05,ADX       ,0.84194869728035393,-4.6538122048593086E-3,3.5801800000000001E-3,3.6063200000000001E-3,0.0108746,2001-02-05,1.9000000320374966E-3,-4.8000002279877663E-3,9.8999999463558197E-3,1.9999999494757503E-4,1.6000000759959221E-2
